Location,LifeBoth1990,LifeBoth2000,LifeBoth2006,LifeFemale1990,LifeFemale2000,LifeFemale2006,LifeMale1990,LifeMale2000,LifeMale2006
Lithuania,71,72,71,76,77,77,66,67,65
Luxembourg,75,78,80,79,81,83,72,75,77
Malta,76,78,79,78,80,81,74,76,77
Monaco,78,80,82,81,83,85,74,76,78
Montenegro,76,74,74,79,77,76,73,72,72
Netherlands,77,78,80,80,81,82,74,76,78
Norway,77,79,80,80,81,83,73,76,78
Poland,71,74,75,75,78,80,67,70,71
Portugal,74,77,79,77,80,82,71,73,75
Republic of Moldova,68,68,68,71,71,72,64,64,64
Romania,70,71,73,73,75,76,67,68,69
Russian Federation,69,65,66,74,72,73,64,59,60
San Marino,79,81,82,82,84,83,76,78,80
Serbia,72,72,73,74,74,76,69,69,71
Slovakia,71,73,74,76,77,78,67,69,70
Slovenia,74,76,78,78,80,82,70,72,74
Spain,77,79,81,80,83,84,73,76,78
Sweden,70,80,81,72,82,83,68,77,79
Switzerland,77,80,82,81,83,84,74,77,79
Tajikistan,60,61,64,63,63,66,57,59,63
The former Yugoslav Republic of Macedonia,72,72,73,74,75,76,70,69,71
Turkey,65,70,73,67,72,75,63,67,71
Turkmenistan,62,62,63,65,65,67,58,59,60
Ukraine,70,67,67,74,73,73,65,62,61
United Kingdom,76,78,79,78,80,81,73,75,77
Uzbekistan,66,66,68,70,69,70,63,63,65
Bangladesh,55,61,63,54,62,63,55,61,63
Bhutan,53,61,64,55,63,67,51,59,62
Democratic People's Republic of Korea,67,67,66,68,68,68,64,64,64
India,58,61,63,58,62,64,58,60,62
Indonesia,60,66,68,61,67,69,59,64,66
Maldives,58,67,72,56,67,73,58,67,72
Myanmar,57,59,60,60,62,63,55,56,57
Nepal,54,60,62,54,60,63,54,59,62
Sri Lanka,67,69,72,72,74,76,63,64,69
Thailand,69,70,72,72,73,75,66,67,69
Timor-Leste,51,60,66,55,63,69,48,57,64
Australia,77,80,82,80,82,84,74,77,79
Brunei Darussalam,72,76,77,73,77,79,71,74,76
Cambodia,59,58,62,61,62,65,56,55,59
China,68,71,73,69,72,75,68,70,72
Cook Islands,68,71,73,70,73,75,66,68,71
Fiji,66,68,69,69,71,72,63,65,66
Japan,79,81,83,82,85,86,76,78,79
Kiribati,61,65,65,62,67,68,61,63,63
Lao People's Democratic Republic,52,58,60,53,59,61,51,57,59
Malaysia,70,71,72,73,74,74,68,69,69
Marshall Islands,55,60,63,57,62,64,54,58,61
Micronesia (Federated States of),66,67,69,67,68,70,65,66,67
Mongolia,62,64,66,65,67,70,59,61,62
Nauru,57,61,61,61,64,64,55,58,59
New Zealand,75,79,80,78,81,82,72,76,78
Niue,70,70,70,74,76,78,67,66,64
Palau,69,69,69,76,72,71,64,67,68
Papua New Guinea,58,61,62,60,63,64,57,59,60
Philippines,65,67,68,68,71,71,61,64,64
Republic of Korea,72,76,79,76,80,82,68,72,75
Samoa,63,67,68,64,70,70,62,65,66
Singapore,75,78,80,77,81,83,73,76,78
Solomon Islands,61,65,67,62,66,68,60,63,65
Tonga,67,69,71,68,71,69,66,68,73
Tuvalu,60,63,65,61,63,65,60,63,64
Vanuatu,63,67,69,65,68,70,63,66,67
Viet Nam,66,70,72,69,72,75,65,68,69
